order,plainNumber,photograph,xray,RegNo,genus database,species database,latitude,longitude,jar note,svl,tail length,ratio,tail shape,midbody diameter,midtail diameter,head width,head depth,ant nostril to ant eyes,distance between eyes (closest),distance from forehead between eyes to snout,lower lip to snout,mouth width,tip of mouth to head depth,headlength_xray,X-RAY?,precloacal_vert,postcloacal_vert,headlength,database svl,ryan's svl,remeasure?,tissue,age,age literature,Notes,sex database,sex dissect,predicted sex/reason,confidence
86,137468,y,ryan,R137468,Anilios,guentheri,-15.7833,128.7333,1,184,4,0.022,point,2.70,1.82,1.76,1.19,1.08,1.53,1.38,0.76,0.82,0.86,4.45,y,,,4.45,,188.2,4,,,,,,f,eggs,yes
87,108431,y,ryan,R108431,Anilios,guentheri,-17.2286,128.0994,1,227,4,0.018,point,2.87,1.89,1.84,1.19,1.07,1.74,1.60,0.83,0.84,0.91,4.45,y,,,4.45,245,228.67,2,,,,,Female,f,,yes
88,152714,y,h,R152714,Anilios,guentheri,-17.3897,128.2547,1,134,3,0.022,point,2.54,1.57,1.47,0.92,0.85,1.31,1.19,0.57,0.63,0.65,3.54,y,263,17,3.54,,#N/A,#N/A,,,,flattened,,f,based on ratio,tail
89,70638,y,h,R70638,Anilios,guentheri,-16.6033,128.4594,1,194,3,0.015,point,2.42,1.76,1.94,1.08,1.03,1.40,1.58,0.64,0.94,0.91,3.99,y,286,10,3.993,,196.99,3,,,,flattened,,f,based on ratio,tail
90,136761,y,h,R136761,Anilios,waitii,-27.6133,119.5697,8,313,9,0.029,point,3.62,2.60,2.30,1.72,1.28,2.18,2.38,1.45,1.55,1.51,4.59,y,,,4.592,392,#N/A,#N/A,,,,,Male,m,,yes
91,135251,y,h,R135251,Anilios,waitii,-26.5833,119.9167,8,270,8,0.030,point,4.04,3.18,2.40,1.73,1.23,2.13,2.51,1.14,1.08,1.36,4.25,y,304,15,4.245,,#N/A,#N/A,,,,,Male,m,hemipene,yes
92,136696,y,h,R136696,Anilios,waitii,-29.9230,121.1408,8,358,4,0.011,point,3.60,2.48,2.74,1.90,1.49,1.99,3.04,1.65,1.06,1.76,5.05,y,,,5.047,415,#N/A,#N/A,,,,has one eye visible,Female,f,,yes
93,136727,y,h,R136727,Anilios,waitii,-26.2702,121.4975,8,348,6,0.017,point,4.34,2.71,2.58,1.95,1.49,2.33,2.46,1.17,1.32,1.49,4.40,y,,,4.402,402,#N/A,#N/A,,,,confident in my measurements,Female,f,eggs,yes
94,140423,y,y,R140423,Anilios,waitii,-28.3722,120.5831,8,359,5,0.014,point,4.31,3.73,2.82,2.13,1.59,2.33,2.85,1.47,1.48,1.64,5.02,y,302,15,5.019,,#N/A,#N/A,,,,,,f,eggs,yes
95,135604,y, ,R135604,Anilios,waitii,-28.8200,122.3028,8,357,5,0.014,point,4.22,3.00,2.70,2.07,1.30,2.21,2.96,1.49,1.42,1.71,4.99,y,325,13,4.986,370.00,#N/A,#N/A,,,,confident in my measurements,,f,eggs,yes
96,136751,y,h,R136751,Anilios,waitii,-26.2625,121.5108,8,295,4,0.014,point,3.16,2.27,2.35,1.68,1.55,2.13,2.48,1.28,1.28,1.33,4.50,y,,,4.498,360,#N/A,#N/A,,,,,Female,f,,yes
97,136315,y,h,R136315,Anilios,waitii,-26.2702,121.4975,8,309,3,0.010,point,3.83,2.54,2.35,1.84,1.34,2.04,2.72,1.38,1.42,1.32,4.67,maybe,311,11,4.67,382,#N/A,#N/A,,,,confident in my measurements,Female,f,,yes
98,132114,y,y,R132114,Anilios,waitii,-32.9333,117.1833,7,326,10,0.031,point,4.88,3.70,3.05,1.85,1.30,2.63,2.96,1.66,1.48,1.58,5.62,y,270,18,5.624,340.00,#N/A,#N/A,,,,confident in my measurements,,m,hemipene,yes
99,104317,y,y,R104317,Anilios,waitii,-28.6666,114.6000,7,415,12,0.029,point,5.06,4.75,3.30,2.32,1.73,2.69,3.78,1.96,1.27,2.06,5.41,y,306,15,5.412,440.00,#N/A,#N/A,,,,,,m,testes,yes
100,146995,y,y,R146995,Anilios,pinguis,-31.9333,116.0333,6,358,12,0.034,poin,14.18,8.23,8.09,5.16,4.04,5.89,5.71,2.56,4.66,3.83,11.16,y,154,10,11.16,365,386.25,28,,,,,Female,f,,yes
101,173032,y,y,R173032,Anilios,pinguis,-32.6394,119.7553,6,202,7,0.035,point,7.17,5.40,5.35,3.55,2.60,4.49,3.91,1.97,2.53,2.35,7.17,y,152,12,7.173,224,#N/A,#N/A,,,,,Female,f,,yes
102,172519,y,y,R172519,Anilios,pinguis,-32.6500,119.7667,6,200,7,0.035,point,6.62,4.31,4.85,3.36,2.41,4.11,3.70,1.82,2.55,2.47,7.58,,153,12,7.581,222,#N/A,#N/A,,,,,Female,f,,yes
103,28630,y,h,R28630,Anilios,pinguis,-33.8333,117.1500,4,430,10,0.023,point,17.36,9.26,8.57,6.59,4.83,6.38,6.83,2.99,4.94,4.23,11.11,n,,,11.112,,426.9,-3,,,,,,f,,yes
104,37465,y,h,R37465,Anilios,pinguis,-31.3833,116.0833,4,315,18,0.057,point,10.91,7.92,7.73,5.10,3.87,5.86,6.62,2.88,3.78,3.81,10.02,y,150,15,10.017,,#N/A,#N/A,,,,,,m,testes,yes
105,29754,y,y,R29754,Anilios,pinguis,-31.9833,116.0667,4,290,10,0.034,point,12.74,7.72,6.62,4.84,3.86,5.64,5.59,2.63,3.27,3.52,9.69,y,152,11,9.691,,#N/A,#N/A,,,,,,f,eggs,yes
106,55917,y,y,R55917,Anilios,pinguis,-31.9166,116.0500,4,123,5,0.041,point,3.51,2.97,3.36,2.39,2.14,2.94,2.32,1.19,1.53,1.58,5.96,y,,,5.957,,#N/A,#N/A,,,,,,m,testes,yes
107,163525,y,h,R163525,Anilios,unguirostris,-17.5166,126.1000,2,350,10,0.029,point,5.83,3.98,3.52,2.58,2.17,2.73,3.67,2.11,1.48,1.76,6.58,y,225,13,6.577,,344,-6,,,,,,m,unknown looks like it could be male,tail
108,163527,y,h,R163527,Anilios,unguirostris,-17.5736,126.0764,2,308,4,0.013,point,5.44,3.55,3.25,2.26,2.10,2.82,3.48,1.91,1.63,1.68,6.49,y,,,6.491,,#N/A,#N/A,,,,ant head in stomach,,f,eggs,yes
109,146958,y,h,R146958,Anilios,unguirostris,-14.3000,126.6333,2,167,3,0.018,point,2.86,1.94,2.63,1.97,1.48,2.08,2.49,1.30,1.15,1.40,5.36,y,,,5.364,167,#N/A,#N/A,,,,,,,juv male??,
110,73538,y,y,R73538,Anilios,unguirostris,-16.4333,126.4333,no label,247,8,0.032,point,5.09,4.20,3.21,2.38,2.04,2.80,3.22,1.56,1.73,1.70,6.21,y,209,14,6.205,,#N/A,#N/A,,,,,,m,testes,yes
111,163526,y,y,R163526,Anilios,unguirostris,-17.5166,126.1000,no label,372,5,0.013,point,5.46,3.34,3.35,2.14,2.01,2.92,3.21,1.74,1.90,1.62,6.28,y,238,11,6.283,,376.47,4,,,,,,f,eggs,yes
112,163528,y,y,R163528,Anilios,unguirostris,-17.5166,126.1000,no label,444,5,0.011,point,5.45,4.48,3.86,2.72,2.57,3.17,4.03,2.10,2.44,2.08,6.85,y,233,10,6.851,,446.97,3,,,,,,f,eggs,yes
113,83196,y,y,R83196,Anilios,unguirostris,-15.7666,128.7333,no label,445,6,0.013,point,8.18,4.97,4.07,3.06,2.69,3.23,3.90,2.30,2.04,2.10,7.82,y,216,11,7.818,,450.94,6,,,,,,f,eggs,yes
114,99771,y,y,R99771,Anilios,unguirostris,-17.2875,125.3681,1,311,3,0.010,point,5.39,2.54,2.95,2.05,2.05,2.57,3.29,1.68,1.41,1.55,5.60,y,257,10,5.596,,311.09,0,,,,,,f,unknown looks like it could be male  ratio female,tail
115,131661,y,h,R131661,Anilios,unguirostris,-14.2211,126.6322,1,267,7,0.026,point,4.81,4.30,3.48,2.34,2.32,2.62,3.32,1.81,1.74,1.62,6.65,n,206,11,6.646,,275.23,8,,,,,,m,"unknown, ratio male",tail
116,161318,y,h,R161318,Anilios,grypus,-21.4077,120.071,6,328,4,0.012,point,3.40,2.38,2.55,1.78,1.37,2.21,2.60,1.24,1.38,1.51,4.71,y,,,4.713,,#N/A,#N/A,,,,,,f,oviduct,yes
117,168870,y,y,R168870,Anilios,ligatus,-15.6691,128.6906,1,219,10,0.046,point,7.30,5.42,4.36,2.90,3.10,3.55,3.13,1.43,2.62,1.90,7.36,n,151,12,7.361,,222.05,3,,,,,,m,testes,yes
118,141065,y,y,R141065,Anilios,ligatus,-15.7666,128.7333,1,277,7,0.025,point,9.04,5.46,5.48,3.24,2.72,3.41,3.79,2.03,2.61,2.44,7.83,y,167,12,7.826,,277.33,0,,,,eyes not visible,Female,f,,yes
119,75510,y,y,R75510,Anilios,ligatus,-16.5833,128.8000,1,241,7,0.029,point,6.27,3.73,4.41,3.10,2.50,3.76,2.98,1.57,2.67,2.16,7.71,y,166,13,7.71,,225.86,-15,,,,confident in my measurements,,f,oviduct/eggs,yes
120,22357,y,y,R22357,Anilios,ligatus,-15.6500,128.7000,1,132,5,0.038,point,3.96,2.82,3.16,2.13,1.74,2.45,2.32,1.17,1.87,1.42,5.85,y,156,17,5.851,,#N/A,#N/A,,,,,,,unknown,
121,99775,y,y,R99775,Anilios,ligatus,-17.1152,125.1750,1,181,9,0.050,point,5.44,3.70,4.17,2.68,2.19,3.13,2.67,1.52,2.05,1.95,6.47,y,143,15,6.467,,#N/A,#N/A,,,,,,m,testes,tail
122,114894,y,n,R114894,Anilios,systenos,-28.7666,114.6167,systenos,256,12,0.047,point,2.82,2.17,,,,,,,,,0.00,y,,,,,#N/A,#N/A,,,,head attached but severed,Male,m,,yes
123,55038,y,y,R55038,Anilios,leptosoma,-25.7333,114.2833,,143,5,0.035,point,1.46,1.26,1.18,0.85,0.71,1.14,1.28,0.58,0.33,0.77,2.66,y,339,12,2.655,,143.71,1,,,,,,m,hemipene,yes
124,13462,,,R13462,Anilios,systenos,-28.4000,114.5833,??,127,5,0.039,point,1.45,1.31,1.31,0.87,0.83,1.27,1.35,0.60,0.87,0.78,0.00,y,,,,,128.5,2,,,,,,m,hemipene,yes
125,125963,y,y,R125963,Anilios,leptosoma,-27.7000,114.2000,,222,9,0.041,point,2.66,2.49,1.68,1.31,0.95,1.56,1.93,0.91,0.81,1.08,3.19,y,293,17,3.192,,224.63,3,,,,,,m,hemipene,yes
126,125964,y,y,R125964,Anilios,leptosoma,-27.7000,114.2000,,178,7,0.039,point,2.26,1.88,1.43,1.12,0.92,1.38,1.81,0.80,0.86,0.92,3.21,y,288,18,3.21,,178.64,1,,,,,,m,hemipene,yes
127,55039,y,y,R55039,Anilios,leptosoma,-25.7333,114.2833,,134,6,0.045,point,1.71,1.29,1.39,0.83,0.78,1.30,1.10,0.69,0.59,0.76,2.77,y,,,2.771,,136.37,2,,,,,,m,ryans data,yes
128,34649,n,n,R34649,Anilios,leptosoma,-27.7166,114.1667,,366,7,0.019,point,4.93,3.85,,,,,,,,,0.00,,,,,,366.49,0,,,,head missing,,f,ryans data,yes
129,119241,y,y,R119241,Anilios,leptosoma,-27.7000,114.1667,,296,5,0.017,point,3.25,2.53,1.91,1.51,1.13,1.66,2.07,1.14,1.06,1.33,3.64,y,313,11,3.636,,300.99,5,,,,,Female,f,ryans data,yes
130,51097,y,y,R51097,Anilios,leptosoma,-26.9666,115.9667,,256,4,0.016,point,2.56,2.06,1.79,1.46,1.15,1.68,1.90,1.07,1.02,1.29,3.71,y,333,15,3.714,,257.79,2,,,,,,f,ryans data,yes
131,135647,y,y,R135647,Anilios,leptosoma,-27.3905,114.7528,,286,6,0.021,point,3.08,2.39,2.16,1.64,1.24,1.91,2.21,1.16,1.15,1.40,3.58,y,,,3.584,,390.94,105,,,,confident in my measurements,,f,eggs,yes
132,57545,y,h,R57545,Anilios,leptosoma,-28.0833,115.3000,,268,5,0.019,point,2.44,1.93,2.00,1.44,1.24,1.63,1.96,1.05,1.10,1.21,0.00,y,,,,,272.64,5,,,,,,f,ryans data,yes
133,146456,y,y,R146456,Anilios,leptosoma,-28.0333,114.6667,,239,6,0.025,point,2.67,2.15,1.83,1.42,1.10,1.68,2.20,1.09,1.11,1.19,3.86,y,322,15,3.863,,244.01,5,,,,,,f,ryans data,yes
134,146454,y,y,R146454,Anilios,leptosoma,-28.0333,114.6667,,261,6,0.023,point,3.44,2.58,1.81,1.44,1.05,1.66,2.35,1.03,0.96,1.18,3.49,y,,,3.491,,261.31,0,,,,follow ryans data,,f,,yes
135,163084,y,h,R163084,Anilios,grypus,-23.0538,119.177,,236,6,0.025,point,2.53,1.77,2.00,1.22,0.91,1.79,1.66,0.97,1.07,0.98,3.93,y,312,12,3.925,,#N/A,#N/A,,,,,,f,dissected but indistinct female based on ratio,tail
136,163640,y,h,R163640,Anilios,grypus,-22.2175,117.5219,,210,4,0.019,point,1.74,1.54,1.67,1.05,0.85,1.13,1.53,0.76,0.89,0.94,3.70,y,305,8,3.701,,#N/A,#N/A,,,,,,f,dissected but indistinct female based on ratio,tail
137,151749,y,y,R151749,Anilios,ganei,-22.0169,118.9819,1,241,8,0.033,point,5.58,3.56,4.29,2.44,2.00,3.19,2.38,1.36,2.05,1.83,6.92,y,200,13,6.917,,#N/A,#N/A,,,,,,m,hemipene,yes
138,135625,y,y,R135625,Anilios,ganei,-23.0666,118.9333,1,267,8,0.030,point,7.36,4.47,4.52,3.04,1.98,3.76,3.07,1.69,2.42,2.10,7.49,y,197,13,7.494,,#N/A,#N/A,,,,,Female,m,thought I found testes but database says female,yes
139,162129,y ,y,R162129,Anilios,ganei,-22.7892,116.571,1,256,6,0.023,point,6.58,3.63,4.47,2.68,1.85,3.33,2.87,1.72,2.25,2.11,7.50,y,200,14,7.499,,#N/A,#N/A,,,,,,m,testes?,yes
140,164440,y,y,R164440,Anilios,ganei,-23.3280,119.8611,1,236,7,0.030,point,5.44,3.04,3.86,2.55,2.35,3.51,2.44,1.30,1.82,1.87,7.30,y,204,14,7.303,,#N/A,#N/A,,,,,Male,m,hemipene,yes
141,165000,y,y,R165000,Anilios,ganei,-22.1347,119.024,1,144,4,0.028,point,4.12,2.10,3.29,1.92,1.60,2.66,2.22,1.14,1.68,1.35,6.85,y,,,6.853,,#N/A,#N/A,,,,,,m,dissected but indistinct,yes
142,156328,y,y,R156328,Anilios,ganei,-22.2302,118.9814,1,220,5,0.023,point,4.99,3.42,3.70,2.42,1.74,3.28,2.43,1.48,2.02,1.88,7.60,y,200,11,7.599,,#N/A,#N/A,,,,,Male,m,testes,yes
143,170702,y,h,R170702,Anilios,ganei,-21.9522,116.488,2,239,5,0.021,point,6.22,3.67,3.72,2.41,1.99,3.34,2.68,1.50,1.99,1.81,7.73,y,,,7.732,,251.04,12,,,,,,f,??,tail
144,170252,y,h,R170252,Anilios,ganei,-23.2839,118.102,2,267,7,0.026,point,6.20,3.07,4.26,2.68,2.60,3.65,2.81,1.63,2.14,2.06,7.79,y,209,14,7.788,,282.87,16,,,,,,m,testes maybe ovaries,yes
145,172319,y,y,R172319,Anilios,ganei,-22.2872,117.9596,2,450,7,0.016,point,9.45,5.11,5.11,4.45,2.53,4.16,3.89,1.85,3.06,2.91,9.51,y,222,14,9.51,,450.8,1,,,,,,f,,yes
146,170062,y,h,R170062,Anilios,ganei,-21.0628,118.911,2,252,6,0.024,point,4.60,3.25,3.85,2.89,2.15,3.21,2.76,1.47,2.37,2.01,7.71,y,203,14,7.707,,257.87,6,,,,,,m,,yes
147,26839,y,y,R26839,Anilios,yampiensis,-16.1500,123.7500,holotype,129,2,0.016,point,1.94,1.22,1.60,1.11,0.92,1.39,1.32,0.86,1.07,0.86,3.61,y,289,9,3.611,,#N/A,#N/A,,,,,,,cannot dissect,
148,51043,y,y,R51043,Anilios,troglodytes,-17.6166,125.2333,holotype,387,5,0.013,point,4.57,2.57,3.63,1.85,1.68,2.79,2.77,1.52,1.85,1.45,6.70,y,310,12,6.699,,387,0,,,,,,f,"Storr 1981 does not say, probably a female based on ratio",tail
149,119900,y,y,R119900,Anilios,splendidus,-22.0166,113.9333,holotype,497,14,0.028,point,10.53,6.81,8.21,5.54,4.20,5.92,7.02,3.28,4.12,4.33,12.21,y,188,12,12.212,,497.98,1,,,,,Female,f,,yes
150,90864,y,y,R90864,Anilios,pilbarensis,-21.6116,118.9556,holotype,235,10,0.043,point,5.48,4.30,3.53,2.78,2.19,2.95,3.49,1.73,1.85,1.79,6.18,y,185,18,6.181,,#N/A,#N/A,,,,,,m,adult male in Apin & Donnellan 1993,yes
151,1341,y,y,R1341,Anilios,micromma,-17.8666,125.4333,holotype,198,5,0.025,point,2.69,1.79,2.03,1.65,1.21,1.98,1.41,0.87,1.15,1.22,3.77,y,265,14,3.765,,#N/A,#N/A,,,,,,,"cannot dissect, paper does not say",
152,15710,y,y,R15710,Anilios,margaretae,-27.4166,124.3000,holotype,297,4,0.013,point,2.70,1.96,2.38,1.70,1.46,1.81,2.29,1.28,1.19,1.46,4.21,y,278,13,4.208,,#N/A,#N/A,,,,,,,"cannot dissect, paper does not say",
153,120049,y,y,R120049,Anilios,longissimus,-20.9000,115.3667,holotype,266,4,0.015,point,1.59,1.55,1.49,1.17,0.80,1.42,1.24,0.72,1.00,0.90,3.26,y,369,12,3.261,,264.66,-1,,,,,Female,f,,yes
154,29623,y,y,R29623,Anilios,leptosoma,-27.5500,114.4667,holotype,246,9,0.037,point,2.55,1.82,1.65,1.38,1.03,1.55,1.97,0.88,0.92,0.99,3.02,y,321,19,3.024,,249.55,4,,,,,,m,"could not dissect, paper does not say, male based on ratio",yes
155,146400,y,y,R146400,Anilios,obtusifrons,-27.9219,114.1633,holotype,197,5,0.025,point,2.44,2.00,1.71,1.45,0.85,1.58,1.83,0.89,0.90,1.08,3.12,y,286,13,3.117,,198.08,1,,,,,,f,holotype,yes
156,89435,y,h,R89435,Anilios,obtusifrons,-27.8500,114.1000,paratype,216,10,0.046,point,1.79,1.37,1.80,1.34,0.90,1.59,1.76,0.93,1.03,1.02,3.01,y,,,3.014,,215.1,-1,,,,nose in bad shape,,m,testes,yes
157,129778,y,y,R129778,Anilios,obtusifrons,-27.8977,114.1669,paratype,195,4,0.021,point,2.17,1.67,1.80,1.33,0.82,1.51,1.71,0.92,1.10,1.06,3.01,y,282,14,3.014,,197.36,2,,,,,,f,eggs,yes
158,114892,y,y,R114892,Anilios,systenos,-28.7666,114.6167,holotype,256,10,0.039,point,2.43,2.37,1.76,1.47,1.03,1.70,1.93,1.09,1.00,1.07,3.68,y,297,20,3.683,,257.86,2,,,,,,m,ryans data,yes
159,113398,y,y,R113398,Anilios,systenos,,,paratype,204,8,0.039,point,2.38,2.26,1.65,1.25,0.92,1.47,1.71,0.88,1.04,1.05,3.24,y,,,3.235,,203.46,-1,,,,,,m,ryans data,yes
160,114893,y,y,R114893,Anilios,systenos,-28.7666,114.6167,paratype,195,8,0.041,point,1.96,1.59,1.57,1.20,0.79,1.33,1.66,0.75,1.27,0.93,3.05,y,298,15,3.047,,197.14,2,,,,,,m,ryans data,yes
161,1734,y,h,R1734,Anilios,systenos,-28.7166,114.8167,paratype,244,5,0.020,point,2.90,1.93,2.00,1.63,1.12,1.93,2.40,1.12,1.01,1.26,3.66,y,,,3.661,,242.51,-1,,,,,,f,ryans data,yes
162,171667,y,y,R171667,Anilios,zonula,-15.95242,124.56376,holotype,180,5,0.028,point,2.82,2.58,1.92,1.33,0.97,1.73,1.60,0.83,1.20,0.96,3.60,y,240,10,3.596,,#N/A,#N/A,,,,,,f,"Ellis 2016, female",yes
163,106250,y,y,R106250,Anilios,zonula,-15.270,124.558,paratype,154,3,0.019,point,1.95,1.48,1.61,1.00,0.77,1.27,1.28,0.64,0.78,0.81,3.15,y,245,13,3.145,,#N/A,#N/A,,,,,,f,"Ellis 2016, subadult female",yes
164,124835,y,y,R124835,Anilios,ganei,-23.2916,119.4667,holotype,327,7,0.021,point,8.48,3.60,4.68,2.94,2.51,3.80,3.22,1.74,3.18,2.20,8.49,y,211,14,8.49,,#N/A,#N/A,,,,,,f,,yes
165,102111,y,y,R102111,Anilios,ganei,-21.6500,116.3167,paratype,256,5,0.020,point,5.16,2.96,4.44,3.02,2.25,3.60,3.10,1.66,2.37,1.99,7.42,y,207,13,7.415,,#N/A,#N/A,,,,mouth messed up,,f,eggs,yes
166,129571,y,y,R129571,Anilios,ganei,-23.3500,119.5667,paratype,234,7,0.030,point,4.88,2.81,4.07,2.31,2.06,3.17,2.63,1.19,2.30,1.42,7.73,y,211,12,7.732,,#N/A,#N/A,,,,,,f,paper says female Aplin 1998,yes
167,69572,y,y,R69572,Anilios,hamatus,-22.6333,118.1000,holotype,360,8,0.022,point,6.51,5.86,4.68,3.39,2.38,3.94,4.30,2.01,2.71,2.47,8.02,y,195,10,8.022,,#N/A,#N/A,,,,,,f,"paper does not say which sex, probably female based on ratio",yes
168,66323,y,y,R66323,Anilios,hamatus,-23.2000,118.8250,paratype,250,9,0.036,point,4.91,3.84,3.45,2.61,2.37,3.25,3.43,1.76,2.21,1.82,6.45,y,177,13,6.453,,#N/A,#N/A,,,,,,m,testes? Hemipene,yes
169,77226,y,y,R77226,Anilios,howi,-14.5666,125.8486,holotype,193,6,0.031,point,3.29,2.73,1.94,1.36,0.97,1.70,1.55,0.81,1.21,0.96,3.78,y,255,12,3.784,,195.5,3,,,,,,m,"paper does not indicate sex, probably male based on ratio",tail
170,41456,y,y,R41456,Anilios,kimberleyensis,-14.5333,125.1333,holotype,288,6,0.021,point,5.01,2.56,3.44,1.90,1.61,2.79,2.80,1.30,2.05,1.48,5.63,y,250,11,5.626,,#N/A,#N/A,,,,,,f,"check paper, paper does not say, female based on ratio",tail
171,134917,y,h,R134917,Anilios,australis,-31.4500,116.2728,,160,8,0.050,point,4.86,3.59,2.71,1.86,1.85,2.39,2.56,1.47,1.51,1.32,5.51,y,,,5.514,,#N/A,#N/A,,,,,,m,testes,yes
172,135228,y,h,R135228,Anilios,australis,-32.1602,121.7417,,216,8,0.037,point,5.07,4.01,3.71,2.53,2.73,2.87,3.37,1.68,1.98,1.85,6.48,y,,,6.481,,#N/A,#N/A,,,,,,m,testes,yes
173,74795,y,h,R74795,Anilios,hamatus,-27.7972,121.6514,,,,,,,,,,,,,,,,6.31,,,,6.308,,,,,,,,,,,
174,163524,y,,R163524,Anilios,vagurima,-17.0336,126.6536,holotype,324.5,4,,,3.80,3.19,3.75,2.71,1.81,2.52,2.73,1.67,,2.27,,,,,,,,,,,,,,m,paper,y
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
