"reg_no","genus","species","latitude","longitude","tail_shape","sex","institution","plain_number","id","ratio","svl","tail_length","midbody_diameter","midtail_diameter","head_width","head_depth","ant_nostril_to_ant_eyes","distance_between_eyes_closest","distance_from_forehead_between_eyes_to_snout","lower_lip_to_snout","mouth_width","tip_of_mouth_to_head_depth","headlength_xray","precloacal_vert","postcloacal_vert","confidence","total_length"
"R168385","Anilios","kimberleyensis",-16.089,123.55,"point","m","WAM","168385","WAM_R168385",0.02,200,4,4.68,2,3.11,1.8,1.63,2.59,2.27,1.15,1.57,1.38,5.77,194,12,"yes",204
"R168371","Anilios","kimberleyensis",-16.04,123.52,"point","m","WAM","168371","WAM_R168371",0.03,228,7,4.13,3.02,3.35,2.02,1.92,2.82,2.4,1.31,1.79,1.63,6.54,199,14,"yes",235
"R168370","Anilios","kimberleyensis",-16.039,123.528,"point","m","WAM","168370","WAM_R168370",0.029,206,6,4.53,2.81,3.08,1.89,1.73,2.51,2.17,1.17,1.59,1.53,6.28,199,14,"yes",212
"R168382","Anilios","kimberleyensis",-16.04,123.54,"point","m","WAM","168382","WAM_R168382",0.04,191,7,4.52,2.85,3.08,1.86,1.62,2.49,2.19,1.19,1.7,1.5,5.84,188,15,"yes",198
"R125981","Anilios","kimberleyensis",-15.467,128.1,"point","f","WAM","125981","WAM_R125981",0.022,408,9,6.06,3.73,3.7,2.15,1.9,2.94,3.15,1.86,2.21,1.76,7.4,251,11,"yes",417
"R168381","Anilios","kimberleyensis",-16.07,123.55,"point","f","WAM","168381","WAM_R168381",0.02,213,4,5.19,2.05,3.43,1.98,1.97,2.51,2.85,1.34,2.01,1.72,6.67,194,11,"yes",217
"R168365","Anilios","kimberleyensis",-16.039,123.528,"point","f","WAM","168365","WAM_R168365",0.017,234,4,4.23,2.25,3.42,2.15,2.06,2.94,3.12,1.33,1.66,1.63,6.76,208,12,"yes",238
"R168404","Anilios","kimberleyensis",-16.08,123.55,"point","f","WAM","168404","WAM_R168404",0.02,207,4,4.62,2.58,3.28,1.91,1.69,2.77,2.34,1.18,1.64,1.49,6.57,193,10,"yes",211
"R168461","Anilios","kimberleyensis",-13.883,126.567,"point","m","WAM","168461","WAM_R168461",0.021,240,5,4.65,2.39,3.15,1.98,1.81,2.62,2.69,1.51,1.63,1.51,6.66,205,14,"yes",245
"R133193","Anilios","kimberleyensis",-16.13,123.76,"point","f","WAM","133193","WAM_R133193",0.02,219,5,4.54,2.38,3.17,1.83,1.86,2.68,2.49,1.19,1.79,1.36,6.31,197,12,"yes",224
"R168363","Anilios","kimberleyensis",-16.089,123.55,"point","f","WAM","168363","WAM_R168363",0.017,301,5,6.85,3.46,4.85,2.92,2.23,3.4,3.44,1.99,2.48,2.44,8.71,204,8,"yes",306
"R115121","Anilios","systenos",-28.1,115.63,"point","m","WAM","115121","WAM_R115121",0.04,244,9,3.01,2.05,1.66,1.22,0.94,1.51,1.49,0.7,0.62,0.82,3.33,306,19,"yes",253
"R138013","Anilios","guentheri",-15.783,128.733,"point","f","WAM","138013","WAM_R138013",0.016,251,4,2.6,2.12,2.01,1.28,1.21,1.85,1.73,0.76,1.18,1,4.65,,,"yes",255
"R61353","Anilios","guentheri",-16.28,128.8,"point","m","WAM","61353","WAM_R61353",0.03,195,6,3.01,2.2,2.06,1.48,1.06,1.77,1.66,0.74,1.03,0.98,3.8,250,15,"yes",201
"R119987","Anilios","guentheri",-15.833,128.033,"point","f","WAM","119987","WAM_R119987",0.015,271,4,2.96,1.82,2.15,1.3,1.28,1.94,1.77,1.12,0.88,1.14,4.3,311,12,"yes",275
"R137468","Anilios","guentheri",-15.78,128.73,"point","f","WAM","137468","WAM_R137468",0.02,184,4,2.7,1.82,1.76,1.19,1.08,1.53,1.38,0.76,0.82,0.86,4.45,,,"yes",188
"R108431","Anilios","guentheri",-17.229,128.099,"point","f","WAM","108431","WAM_R108431",0.018,227,4,2.87,1.89,1.84,1.19,1.07,1.74,1.6,0.83,0.84,0.91,4.45,,,"yes",231
"R152714","Anilios","guentheri",-17.39,128.25,"point","f","WAM","152714","WAM_R152714",0.02,134,3,2.54,1.57,1.47,0.92,0.85,1.31,1.19,0.57,0.63,0.65,3.54,263,17,"tail",137
"R70638","Anilios","guentheri",-16.603,128.459,"point","f","WAM","70638","WAM_R70638",0.015,194,3,2.42,1.76,1.94,1.08,1.03,1.4,1.58,0.64,0.94,0.91,3.99,286,10,"tail",197
"R136761","Anilios","waitii",-27.61,119.57,"point","m","WAM","136761","WAM_R136761",0.03,313,9,3.62,2.6,2.3,1.72,1.28,2.18,2.38,1.45,1.55,1.51,4.59,,,"yes",322
"R135251","Anilios","waitii",-26.583,119.917,"point","m","WAM","135251","WAM_R135251",0.03,270,8,4.04,3.18,2.4,1.73,1.23,2.13,2.51,1.14,1.08,1.36,4.25,304,15,"yes",278
"R136696","Anilios","waitii",-29.92,121.14,"point","f","WAM","136696","WAM_R136696",0.01,358,4,3.6,2.48,2.74,1.9,1.49,1.99,3.04,1.65,1.06,1.76,5.05,,,"yes",362
"R136727","Anilios","waitii",-26.27,121.498,"point","f","WAM","136727","WAM_R136727",0.017,348,6,4.34,2.71,2.58,1.95,1.49,2.33,2.46,1.17,1.32,1.49,4.4,,,"yes",354
"R140423","Anilios","waitii",-28.37,120.58,"point","f","WAM","140423","WAM_R140423",0.01,359,5,4.31,3.73,2.82,2.13,1.59,2.33,2.85,1.47,1.48,1.64,5.02,302,15,"yes",364
"R135604","Anilios","waitii",-28.82,122.303,"point","f","WAM","135604","WAM_R135604",0.014,357,5,4.22,3,2.7,2.07,1.3,2.21,2.96,1.49,1.42,1.71,4.99,325,13,"yes",362
"R136751","Anilios","waitii",-26.26,121.51,"point","f","WAM","136751","WAM_R136751",0.01,295,4,3.16,2.27,2.35,1.68,1.55,2.13,2.48,1.28,1.28,1.33,4.5,,,"yes",299
"R136315","Anilios","waitii",-26.27,121.498,"point","f","WAM","136315","WAM_R136315",0.01,309,3,3.83,2.54,2.35,1.84,1.34,2.04,2.72,1.38,1.42,1.32,4.67,311,11,"yes",312
"R132114","Anilios","waitii",-32.93,117.18,"point","m","WAM","132114","WAM_R132114",0.03,326,10,4.88,3.7,3.05,1.85,1.3,2.63,2.96,1.66,1.48,1.58,5.62,270,18,"yes",336
"R104317","Anilios","waitii",-28.667,114.6,"point","m","WAM","104317","WAM_R104317",0.029,415,12,5.06,4.75,3.3,2.32,1.73,2.69,3.78,1.96,1.27,2.06,5.41,306,15,"yes",427
"R146995","Anilios","pinguis",-31.93,116.03,"poin","f","WAM","146995","WAM_R146995",0.03,358,12,14.18,8.23,8.09,5.16,4.04,5.89,5.71,2.56,4.66,3.83,11.16,154,10,"yes",370
"R173032","Anilios","pinguis",-32.639,119.755,"point","f","WAM","173032","WAM_R173032",0.035,202,7,7.17,5.4,5.35,3.55,2.6,4.49,3.91,1.97,2.53,2.35,7.17,152,12,"yes",209
"R172519","Anilios","pinguis",-32.65,119.77,"point","f","WAM","172519","WAM_R172519",0.04,200,7,6.62,4.31,4.85,3.36,2.41,4.11,3.7,1.82,2.55,2.47,7.58,153,12,"yes",207
"R28630","Anilios","pinguis",-33.833,117.15,"point","f","WAM","28630","WAM_R28630",0.023,430,10,17.36,9.26,8.57,6.59,4.83,6.38,6.83,2.99,4.94,4.23,11.11,,,"yes",440
"R37465","Anilios","pinguis",-31.38,116.08,"point","m","WAM","37465","WAM_R37465",0.06,315,18,10.91,7.92,7.73,5.1,3.87,5.86,6.62,2.88,3.78,3.81,10.02,150,15,"yes",333
"R29754","Anilios","pinguis",-31.983,116.067,"point","f","WAM","29754","WAM_R29754",0.034,290,10,12.74,7.72,6.62,4.84,3.86,5.64,5.59,2.63,3.27,3.52,9.69,152,11,"yes",300
"R55917","Anilios","pinguis",-31.92,116.05,"point","m","WAM","55917","WAM_R55917",0.04,123,5,3.51,2.97,3.36,2.39,2.14,2.94,2.32,1.19,1.53,1.58,5.96,,,"yes",128
"R163525","Anilios","unguirostris",-17.517,126.1,"point","m","WAM","163525","WAM_R163525",0.029,350,10,5.83,3.98,3.52,2.58,2.17,2.73,3.67,2.11,1.48,1.76,6.58,225,13,"tail",360
"R163527","Anilios","unguirostris",-17.57,126.08,"point","f","WAM","163527","WAM_R163527",0.01,308,4,5.44,3.55,3.25,2.26,2.1,2.82,3.48,1.91,1.63,1.68,6.49,,,"yes",312
"R146958","Anilios","unguirostris",-14.3,126.633,"point",,"WAM","146958","WAM_R146958",0.018,167,3,2.86,1.94,2.63,1.97,1.48,2.08,2.49,1.3,1.15,1.4,5.36,,,,170
"R73538","Anilios","unguirostris",-16.43,126.43,"point","m","WAM","73538","WAM_R73538",0.03,247,8,5.09,4.2,3.21,2.38,2.04,2.8,3.22,1.56,1.73,1.7,6.21,209,14,"yes",255
"R163526","Anilios","unguirostris",-17.517,126.1,"point","f","WAM","163526","WAM_R163526",0.013,372,5,5.46,3.34,3.35,2.14,2.01,2.92,3.21,1.74,1.9,1.62,6.28,238,11,"yes",377
"R163528","Anilios","unguirostris",-17.52,126.1,"point","f","WAM","163528","WAM_R163528",0.01,444,5,5.45,4.48,3.86,2.72,2.57,3.17,4.03,2.1,2.44,2.08,6.85,233,10,"yes",449
"R83196","Anilios","unguirostris",-15.767,128.733,"point","f","WAM","83196","WAM_R83196",0.013,445,6,8.18,4.97,4.07,3.06,2.69,3.23,3.9,2.3,2.04,2.1,7.82,216,11,"yes",451
"R99771","Anilios","unguirostris",-17.29,125.37,"point","f","WAM","99771","WAM_R99771",0.01,311,3,5.39,2.54,2.95,2.05,2.05,2.57,3.29,1.68,1.41,1.55,5.6,257,10,"tail",314
"R131661","Anilios","unguirostris",-14.221,126.632,"point","m","WAM","131661","WAM_R131661",0.026,267,7,4.81,4.3,3.48,2.34,2.32,2.62,3.32,1.81,1.74,1.62,6.65,206,11,"tail",274
"R161318","Anilios","grypusW",-21.41,120.07,"point","f","WAM","161318","WAM_R161318",0.01,328,4,3.4,2.38,2.55,1.78,1.37,2.21,2.6,1.24,1.38,1.51,4.71,,,"yes",332
"R168870","Anilios","ligatus",-15.669,128.691,"point","m","WAM","168870","WAM_R168870",0.046,219,10,7.3,5.42,4.36,2.9,3.1,3.55,3.13,1.43,2.62,1.9,7.36,151,12,"yes",229
"R141065","Anilios","ligatus",-15.77,128.73,"point","f","WAM","141065","WAM_R141065",0.03,277,7,9.04,5.46,5.48,3.24,2.72,3.41,3.79,2.03,2.61,2.44,7.83,167,12,"yes",284
"R75510","Anilios","ligatus",-16.583,128.8,"point","f","WAM","75510","WAM_R75510",0.029,241,7,6.27,3.73,4.41,3.1,2.5,3.76,2.98,1.57,2.67,2.16,7.71,166,13,"yes",248
"R22357","Anilios","ligatus",-15.65,128.7,"point",,"WAM","22357","WAM_R22357",0.04,132,5,3.96,2.82,3.16,2.13,1.74,2.45,2.32,1.17,1.87,1.42,5.85,156,17,,137
"R99775","Anilios","ligatus",-17.115,125.175,"point","m","WAM","99775","WAM_R99775",0.05,181,9,5.44,3.7,4.17,2.68,2.19,3.13,2.67,1.52,2.05,1.95,6.47,143,15,"tail",190
"R114894","Anilios","systenos",-28.77,114.62,"point","m","WAM","114894","WAM_R114894",0.05,256,12,2.82,2.17,,,,,,,,,,,,"yes",268
"R55038","Anilios","leptosoma",-25.733,114.283,"point","m","WAM","55038","WAM_R55038",0.035,143,5,1.46,1.26,1.18,0.85,0.71,1.14,1.28,0.58,0.33,0.77,2.66,339,12,"yes",148
"R13462","Anilios","systenos",-28.4,114.58,"point","m","WAM","13462","WAM_R13462",0.04,127,5,1.45,1.31,1.31,0.87,0.83,1.27,1.35,0.6,0.87,0.78,,,,"yes",132
"R125963","Anilios","leptosoma",-27.7,114.2,"point","m","WAM","125963","WAM_R125963",0.041,222,9,2.66,2.49,1.68,1.31,0.95,1.56,1.93,0.91,0.81,1.08,3.19,293,17,"yes",231
"R125964","Anilios","leptosoma",-27.7,114.2,"point","m","WAM","125964","WAM_R125964",0.04,178,7,2.26,1.88,1.43,1.12,0.92,1.38,1.81,0.8,0.86,0.92,3.21,288,18,"yes",185
"R55039","Anilios","leptosoma",-25.733,114.283,"point","m","WAM","55039","WAM_R55039",0.045,134,6,1.71,1.29,1.39,0.83,0.78,1.3,1.1,0.69,0.59,0.76,2.77,,,"yes",140
"R34649","Anilios","leptosoma",-27.72,114.17,"point","f","WAM","34649","WAM_R34649",0.02,366,7,4.93,3.85,,,,,,,,,,,,"yes",373
"R119241","Anilios","leptosoma",-27.7,114.167,"point","f","WAM","119241","WAM_R119241",0.017,296,5,3.25,2.53,1.91,1.51,1.13,1.66,2.07,1.14,1.06,1.33,3.64,313,11,"yes",301
"R51097","Anilios","leptosoma",-26.97,115.97,"point","f","WAM","51097","WAM_R51097",0.02,256,4,2.56,2.06,1.79,1.46,1.15,1.68,1.9,1.07,1.02,1.29,3.71,333,15,"yes",260
"R135647","Anilios","leptosoma",-27.39,114.753,"point","f","WAM","135647","WAM_R135647",0.021,286,6,3.08,2.39,2.16,1.64,1.24,1.91,2.21,1.16,1.15,1.4,3.58,,,"yes",292
"R57545","Anilios","leptosoma",-28.08,115.3,"point","f","WAM","57545","WAM_R57545",0.02,268,5,2.44,1.93,2,1.44,1.24,1.63,1.96,1.05,1.1,1.21,,,,"yes",273
"R146456","Anilios","leptosoma",-28.033,114.667,"point","f","WAM","146456","WAM_R146456",0.025,239,6,2.67,2.15,1.83,1.42,1.1,1.68,2.2,1.09,1.11,1.19,3.86,322,15,"yes",245
"R146454","Anilios","leptosoma",-28.03,114.67,"point","f","WAM","146454","WAM_R146454",0.02,261,6,3.44,2.58,1.81,1.44,1.05,1.66,2.35,1.03,0.96,1.18,3.49,,,"yes",267
"R163084","Anilios","grypusW",-23.054,119.177,"point","f","WAM","163084","WAM_R163084",0.025,236,6,2.53,1.77,2,1.22,0.91,1.79,1.66,0.97,1.07,0.98,3.93,312,12,"tail",242
"R163640","Anilios","grypusW",-22.22,117.52,"point","f","WAM","163640","WAM_R163640",0.02,210,4,1.74,1.54,1.67,1.05,0.85,1.13,1.53,0.76,0.89,0.94,3.7,305,8,"tail",214
"R151749","Anilios","ganei",-22.017,118.982,"point","m","WAM","151749","WAM_R151749",0.033,241,8,5.58,3.56,4.29,2.44,2,3.19,2.38,1.36,2.05,1.83,6.92,200,13,"yes",249
"R135625","Anilios","ganei",-23.07,118.93,"point","m","WAM","135625","WAM_R135625",0.03,267,8,7.36,4.47,4.52,3.04,1.98,3.76,3.07,1.69,2.42,2.1,7.49,197,13,"yes",275
"R162129","Anilios","ganei",-22.789,116.571,"point","m","WAM","162129","WAM_R162129",0.023,256,6,6.58,3.63,4.47,2.68,1.85,3.33,2.87,1.72,2.25,2.11,7.5,200,14,"yes",262
"R164440","Anilios","ganei",-23.33,119.86,"point","m","WAM","164440","WAM_R164440",0.03,236,7,5.44,3.04,3.86,2.55,2.35,3.51,2.44,1.3,1.82,1.87,7.3,204,14,"yes",243
"R165000","Anilios","ganei",-22.135,119.024,"point","m","WAM","165000","WAM_R165000",0.028,144,4,4.12,2.1,3.29,1.92,1.6,2.66,2.22,1.14,1.68,1.35,6.85,,,"yes",148
"R156328","Anilios","ganei",-22.23,118.98,"point","m","WAM","156328","WAM_R156328",0.02,220,5,4.99,3.42,3.7,2.42,1.74,3.28,2.43,1.48,2.02,1.88,7.6,200,11,"yes",225
"R170702","Anilios","ganei",-21.952,116.488,"point","f","WAM","170702","WAM_R170702",0.021,239,5,6.22,3.67,3.72,2.41,1.99,3.34,2.68,1.5,1.99,1.81,7.73,,,"tail",244
"R170252","Anilios","ganei",-23.28,118.1,"point","m","WAM","170252","WAM_R170252",0.03,267,7,6.2,3.07,4.26,2.68,2.6,3.65,2.81,1.63,2.14,2.06,7.79,209,14,"yes",274
"R172319","Anilios","ganei",-22.287,117.96,"point","f","WAM","172319","WAM_R172319",0.016,450,7,9.45,5.11,5.11,4.45,2.53,4.16,3.89,1.85,3.06,2.91,9.51,222,14,"yes",457
"R170062","Anilios","ganei",-21.06,118.91,"point","m","WAM","170062","WAM_R170062",0.02,252,6,4.6,3.25,3.85,2.89,2.15,3.21,2.76,1.47,2.37,2.01,7.71,203,14,"yes",258
"R26839","Anilios","yampiensis",-16.15,123.75,"point",,"WAM","26839","WAM_R26839",0.016,129,2,1.94,1.22,1.6,1.11,0.92,1.39,1.32,0.86,1.07,0.86,3.61,289,9,,131
"R51043","Anilios","troglodytes",-17.62,125.23,"point","f","WAM","51043","WAM_R51043",0.01,387,5,4.57,2.57,3.63,1.85,1.68,2.79,2.77,1.52,1.85,1.45,6.7,310,12,"tail",392
"R119900","Anilios","pinguis",-22.017,113.933,"point","f","WAM","119900","WAM_R119900",0.028,497,14,10.53,6.81,8.21,5.54,4.2,5.92,7.02,3.28,4.12,4.33,12.21,188,12,"yes",511
"R90864","Anilios","pilbarensis",-21.61,118.96,"point","m","WAM","90864","WAM_R90864",0.04,235,10,5.48,4.3,3.53,2.78,2.19,2.95,3.49,1.73,1.85,1.79,6.18,185,18,"yes",245
"R1341","Anilios","micromma",-17.867,125.433,"point",,"WAM","1341","WAM_R1341",0.025,198,5,2.69,1.79,2.03,1.65,1.21,1.98,1.41,0.87,1.15,1.22,3.77,265,14,,203
"R15710","Anilios","margaretae",-27.42,124.3,"point",,"WAM","15710","WAM_R15710",0.01,297,4,2.7,1.96,2.38,1.7,1.46,1.81,2.29,1.28,1.19,1.46,4.21,278,13,,301
"R120049","Anilios","longissimus",-20.9,115.367,"point","f","WAM","120049","WAM_R120049",0.015,266,4,1.59,1.55,1.49,1.17,0.8,1.42,1.24,0.72,1,0.9,3.26,369,12,"yes",270
"R29623","Anilios","leptosoma",-27.55,114.47,"point","m","WAM","29623","WAM_R29623",0.04,246,9,2.55,1.82,1.65,1.38,1.03,1.55,1.97,0.88,0.92,0.99,3.02,321,19,"yes",255
"R146400","Anilios","obtusifrons",-27.922,114.163,"point","f","WAM","146400","WAM_R146400",0.025,197,5,2.44,2,1.71,1.45,0.85,1.58,1.83,0.89,0.9,1.08,3.12,286,13,"yes",202
"R89435","Anilios","obtusifrons",-27.85,114.1,"point","m","WAM","89435","WAM_R89435",0.05,216,10,1.79,1.37,1.8,1.34,0.9,1.59,1.76,0.93,1.03,1.02,3.01,,,"yes",226
"R129778","Anilios","obtusifrons",-27.898,114.167,"point","f","WAM","129778","WAM_R129778",0.021,195,4,2.17,1.67,1.8,1.33,0.82,1.51,1.71,0.92,1.1,1.06,3.01,282,14,"yes",199
"R114892","Anilios","systenos",-28.77,114.62,"point","m","WAM","114892","WAM_R114892",0.04,256,10,2.43,2.37,1.76,1.47,1.03,1.7,1.93,1.09,1,1.07,3.68,297,20,"yes",266
"R113398","Anilios","systenos",,,"point","m","WAM","113398","WAM_R113398",0.039,204,8,2.38,2.26,1.65,1.25,0.92,1.47,1.71,0.88,1.04,1.05,3.24,,,"yes",212
"R114893","Anilios","systenos",-28.77,114.62,"point","m","WAM","114893","WAM_R114893",0.04,195,8,1.96,1.59,1.57,1.2,0.79,1.33,1.66,0.75,1.27,0.93,3.05,298,15,"yes",203
"R1734","Anilios","systenos",-28.717,114.817,"point","f","WAM","1734","WAM_R1734",0.02,244,5,2.9,1.93,2,1.63,1.12,1.93,2.4,1.12,1.01,1.26,3.66,,,"yes",249
"R171667","Anilios","zonula",-15.95,124.56,"point","f","WAM","171667","WAM_R171667",0.03,180,5,2.82,2.58,1.92,1.33,0.97,1.73,1.6,0.83,1.2,0.96,3.6,240,10,"yes",185
"R106250","Anilios","zonula",-15.27,124.558,"point","f","WAM","106250","WAM_R106250",0.019,154,3,1.95,1.48,1.61,1,0.77,1.27,1.28,0.64,0.78,0.81,3.15,245,13,"yes",157
"R124835","Anilios","ganei",-23.29,119.47,"point","f","WAM","124835","WAM_R124835",0.02,327,7,8.48,3.6,4.68,2.94,2.51,3.8,3.22,1.74,3.18,2.2,8.49,211,14,"yes",334
"R102111","Anilios","ganei",-21.65,116.317,"point","f","WAM","102111","WAM_R102111",0.02,256,5,5.16,2.96,4.44,3.02,2.25,3.6,3.1,1.66,2.37,1.99,7.42,207,13,"yes",261
"R129571","Anilios","ganei",-23.35,119.57,"point","f","WAM","129571","WAM_R129571",0.03,234,7,4.88,2.81,4.07,2.31,2.06,3.17,2.63,1.19,2.3,1.42,7.73,211,12,"yes",241
"R69572","Anilios","hamatus",-22.633,118.1,"point","f","WAM","69572","WAM_R69572",0.022,360,8,6.51,5.86,4.68,3.39,2.38,3.94,4.3,2.01,2.71,2.47,8.02,195,10,"yes",368
"R66323","Anilios","hamatus",-23.2,118.83,"point","m","WAM","66323","WAM_R66323",0.04,250,9,4.91,3.84,3.45,2.61,2.37,3.25,3.43,1.76,2.21,1.82,6.45,177,13,"yes",259
"R77226","Anilios","howi",-14.567,125.849,"point","m","WAM","77226","WAM_R77226",0.031,193,6,3.29,2.73,1.94,1.36,0.97,1.7,1.55,0.81,1.21,0.96,3.78,255,12,"tail",199
"R41456","Anilios","kimberleyensis",-14.53,125.13,"point","f","WAM","41456","WAM_R41456",0.02,288,6,5.01,2.56,3.44,1.9,1.61,2.79,2.8,1.3,2.05,1.48,5.63,250,11,"tail",294
"R134917","Anilios","australis",-31.45,116.273,"point","m","WAM","134917","WAM_R134917",0.05,160,8,4.86,3.59,2.71,1.86,1.85,2.39,2.56,1.47,1.51,1.32,5.51,,,"yes",168
"R135228","Anilios","australis",-32.16,121.74,"point","m","WAM","135228","WAM_R135228",0.04,216,8,5.07,4.01,3.71,2.53,2.73,2.87,3.37,1.68,1.98,1.85,6.48,,,"yes",224
"R163524","Anilios","vagurima",-17.03,126.65,,"m","WAM","163524","WAM_R163524",,324.5,4,3.8,3.19,3.75,2.71,1.81,2.52,2.73,1.67,,2.27,,,,"y",328.5
"ZMB18963","Anilios","erycinus",-4.213,143.62,,,"ZMB","18963","ZMB_ZMB18963",,340,10,8.57,4.76,6.59,4.955,2.7,4.2,3.89,2.98,3.76,4,12.116,,,,350
"SMZ0364","Anilios","broomi",-20.313,146.879,,"f","SMZ","0364","SMZ_SMZ0364",,207,4,4.17,2.665,2.575,1.765,1.32,1.645,1.83,0.86,1.04,1.485,4.252,235,10,"yes",211
