 ,Label,Area,Mean,Min,Max,X,Y
1,ani_div_R51126.dcm,0.000,7086,7086,7086,58.865,24.894
2,ani_div_R51126.dcm,0.000,6865,6865,6865,59.121,25.198
3,ani_div_R51126.dcm,0.000,7783,7783,7783,59.369,25.590
4,ani_div_R51126.dcm,0.000,6675,6675,6675,59.729,26.102
5,ani_div_R51126.dcm,0.000,5778,5778,5778,60.144,26.750
6,ani_div_R51126.dcm,0.000,7536,7536,7536,60.512,27.317
7,ani_div_R51126.dcm,0.000,7858,7858,7858,60.912,27.989
8,ani_div_R51126.dcm,0.000,7309,7309,7309,61.320,28.709
9,ani_div_R51126.dcm,0.000,6817,6817,6817,61.760,29.412
10,ani_div_R51126.dcm,0.000,7074,7074,7074,62.136,30.076
11,ani_div_R51126.dcm,0.000,6411,6411,6411,62.496,30.892
12,ani_div_R51126.dcm,0.000,6454,6454,6454,62.767,31.740
13,ani_div_R51126.dcm,0.000,6653,6653,6653,63.071,32.587
14,ani_div_R51126.dcm,0.000,7767,7767,7767,63.279,33.411
15,ani_div_R51126.dcm,0.000,7705,7705,7705,63.487,34.323
16,ani_div_R51126.dcm,0.000,7765,7765,7765,63.655,35.266
17,ani_div_R51126.dcm,0.000,7749,7749,7749,63.783,36.178
18,ani_div_R51126.dcm,0.000,7041,7041,7041,63.895,37.137
19,ani_div_R51126.dcm,0.000,7615,7615,7615,63.927,38.049
20,ani_div_R51126.dcm,0.000,7004,7004,7004,63.927,39.041
21,ani_div_R51126.dcm,0.000,7412,7412,7412,63.895,39.976
22,ani_div_R51126.dcm,0.000,7594,7594,7594,63.783,40.936
23,ani_div_R51126.dcm,0.000,7113,7113,7113,63.687,41.864
24,ani_div_R51126.dcm,0.000,7498,7498,7498,63.503,42.847
25,ani_div_R51126.dcm,0.000,6792,6792,6792,63.295,43.791
26,ani_div_R51126.dcm,0.000,7172,7172,7172,63.015,44.774
27,ani_div_R51126.dcm,0.000,7153,7153,7153,62.815,45.710
28,ani_div_R51126.dcm,0.000,7336,7336,7336,62.543,46.646
29,ani_div_R51126.dcm,0.000,6756,6756,6756,62.280,47.629
30,ani_div_R51126.dcm,0.000,6204,6204,6204,61.952,48.629
31,ani_div_R51126.dcm,0.000,7955,7955,7955,61.632,49.629
32,ani_div_R51126.dcm,0.000,5993,5993,5993,61.336,50.652
33,ani_div_R51126.dcm,0.000,5603,5603,5603,61.000,51.636
34,ani_div_R51126.dcm,0.000,7410,7410,7410,60.776,52.643
35,ani_div_R51126.dcm,0.000,7929,7929,7929,60.536,53.691
36,ani_div_R51126.dcm,0.000,7037,7037,7037,60.352,54.787
37,ani_div_R51126.dcm,0.000,8193,8193,8193,60.152,55.818
38,ani_div_R51126.dcm,0.000,6150,6150,6150,59.913,56.914
39,ani_div_R51126.dcm,0.000,6535,6535,6535,59.697,57.953
40,ani_div_R51126.dcm,0.000,6282,6282,6282,59.425,59.009
41,ani_div_R51126.dcm,0.000,6458,6458,6458,59.049,60.072
42,ani_div_R51126.dcm,0.000,6351,6351,6351,58.625,61.168
43,ani_div_R51126.dcm,0.000,7427,7427,7427,58.137,62.176
44,ani_div_R51126.dcm,0.000,7582,7582,7582,57.505,63.143
45,ani_div_R51126.dcm,0.000,6988,6988,6988,56.842,64.103
46,ani_div_R51126.dcm,0.000,6967,6967,6967,56.042,64.935
47,ani_div_R51126.dcm,0.000,6980,6980,6980,55.250,65.758
48,ani_div_R51126.dcm,0.000,7345,7345,7345,54.435,66.574
49,ani_div_R51126.dcm,0.000,6276,6276,6276,53.515,67.350
50,ani_div_R51126.dcm,0.000,7359,7359,7359,52.643,68.029
51,ani_div_R51126.dcm,0.000,5636,5636,5636,51.596,68.749
52,ani_div_R51126.dcm,0.000,6458,6458,6458,50.548,69.309
53,ani_div_R51126.dcm,0.000,7156,7156,7156,49.509,69.821
54,ani_div_R51126.dcm,0.000,7558,7558,7558,48.325,70.228
55,ani_div_R51126.dcm,0.000,7908,7908,7908,47.126,70.212
56,ani_div_R51126.dcm,0.000,6820,6820,6820,45.830,70.212
57,ani_div_R51126.dcm,0.000,6329,6329,6329,44.670,70.029
58,ani_div_R51126.dcm,0.000,7841,7841,7841,43.543,70.005
59,ani_div_R51126.dcm,0.000,7089,7089,7089,42.383,70.053
60,ani_div_R51126.dcm,0.000,6786,6786,6786,41.136,70.045
61,ani_div_R51126.dcm,0.000,6750,6750,6750,39.888,69.965
62,ani_div_R51126.dcm,0.000,7445,7445,7445,38.689,69.605
63,ani_div_R51126.dcm,0.000,6880,6880,6880,37.521,69.093
64,ani_div_R51126.dcm,0.000,6857,6857,6857,36.402,68.429
65,ani_div_R51126.dcm,0.000,7211,7211,7211,35.402,67.701
66,ani_div_R51126.dcm,0.000,8277,8277,8277,34.371,66.910
67,ani_div_R51126.dcm,0.000,7422,7422,7422,33.499,65.990
68,ani_div_R51126.dcm,0.000,7434,7434,7434,32.755,65.023
69,ani_div_R51126.dcm,0.000,7865,7865,7865,32.123,63.967
70,ani_div_R51126.dcm,0.000,7689,7689,7689,31.428,62.903
71,ani_div_R51126.dcm,0.000,8242,8242,8242,30.844,61.952
72,ani_div_R51126.dcm,0.000,6070,6070,6070,30.100,60.920
73,ani_div_R51126.dcm,0.000,7235,7235,7235,29.436,59.992
74,ani_div_R51126.dcm,0.000,7435,7435,7435,28.589,59.009
75,ani_div_R51126.dcm,0.000,8405,8405,8405,27.829,58.113
76,ani_div_R51126.dcm,0.000,8073,8073,8073,27.013,57.106
77,ani_div_R51126.dcm,0.000,7505,7505,7505,26.158,56.138
78,ani_div_R51126.dcm,0.000,8607,8607,8607,25.374,55.130
79,ani_div_R51126.dcm,0.000,8885,8885,8885,24.654,54.091
80,ani_div_R51126.dcm,0.000,8248,8248,8248,24.055,52.987
81,ani_div_R51126.dcm,0.000,8538,8538,8538,23.391,51.884
82,ani_div_R51126.dcm,0.000,9596,9596,9596,22.823,50.764
83,ani_div_R51126.dcm,0.000,9766,9766,9766,22.311,49.589
84,ani_div_R51126.dcm,0.000,9001,9001,9001,21.887,48.405
85,ani_div_R51126.dcm,0.000,9430,9430,9430,21.560,47.182
86,ani_div_R51126.dcm,0.000,9841,9841,9841,21.336,45.894
87,ani_div_R51126.dcm,0.000,9644,9644,9644,21.208,44.647
88,ani_div_R51126.dcm,0.000,9118,9118,9118,21.096,43.367
89,ani_div_R51126.dcm,0.000,7669,7669,7669,21.112,42.096
90,ani_div_R51126.dcm,0.000,9212,9212,9212,21.136,40.888
91,ani_div_R51126.dcm,0.000,7887,7887,7887,21.320,39.592
92,ani_div_R51126.dcm,0.000,8664,8664,8664,21.544,38.377
93,ani_div_R51126.dcm,0.000,9706,9706,9706,21.791,37.097
94,ani_div_R51126.dcm,0.000,8200,8200,8200,22.175,35.826
95,ani_div_R51126.dcm,0.000,9916,9916,9916,22.551,34.698
96,ani_div_R51126.dcm,0.000,8917,8917,8917,23.031,33.467
97,ani_div_R51126.dcm,0.000,8771,8771,8771,23.671,32.323
98,ani_div_R51126.dcm,0.000,8028,8028,8028,24.358,31.284
99,ani_div_R51126.dcm,0.000,9206,9206,9206,25.038,30.292
100,ani_div_R51126.dcm,0.000,9605,9605,9605,25.758,29.181
101,ani_div_R51126.dcm,0.000,9402,9402,9402,26.638,28.213
102,ani_div_R51126.dcm,0.000,9506,9506,9506,27.501,27.293
103,ani_div_R51126.dcm,0.000,9059,9059,9059,28.453,26.318
104,ani_div_R51126.dcm,0.000,8886,8886,8886,29.428,25.518
105,ani_div_R51126.dcm,0.000,7119,7119,7119,30.452,24.694
106,ani_div_R51126.dcm,0.000,6575,6575,6575,31.548,23.967
107,ani_div_R51126.dcm,0.000,6859,6859,6859,32.667,23.303
108,ani_div_R51126.dcm,0.000,7536,7536,7536,33.771,22.687
109,ani_div_R51126.dcm,0.000,8518,8518,8518,34.938,22.135
110,ani_div_R51126.dcm,0.000,8140,8140,8140,36.194,21.656
111,ani_div_R51126.dcm,0.000,7704,7704,7704,37.401,21.312
112,ani_div_R51126.dcm,0.000,8931,8931,8931,38.673,21.080
113,ani_div_R51126.dcm,0.000,9148,9148,9148,39.944,20.824
114,ani_div_R51126.dcm,0.000,8446,8446,8446,41.272,20.808
115,ani_div_R51126.dcm,0.000,8855,8855,8855,42.543,20.784
116,ani_div_R51126.dcm,0.000,8441,8441,8441,43.919,20.832
117,ani_div_R51126.dcm,0.000,9805,9805,9805,45.118,20.992
118,ani_div_R51126.dcm,0.000,9020,9020,9020,46.366,21.336
119,ani_div_R51126.dcm,0.000,7749,7749,7749,47.621,21.831
120,ani_div_R51126.dcm,0.000,9514,9514,9514,48.797,22.367
121,ani_div_R51126.dcm,0.000,9656,9656,9656,49.916,22.991
122,ani_div_R51126.dcm,0.000,8086,8086,8086,50.956,23.775
123,ani_div_R51126.dcm,0.000,7809,7809,7809,51.996,24.622
124,ani_div_R51126.dcm,0.000,8392,8392,8392,52.947,25.502
125,ani_div_R51126.dcm,0.000,8221,8221,8221,53.803,26.414
126,ani_div_R51126.dcm,0.000,8399,8399,8399,54.531,27.405
127,ani_div_R51126.dcm,0.000,7612,7612,7612,55.290,28.445
128,ani_div_R51126.dcm,0.000,8879,8879,8879,56.010,29.532
129,ani_div_R51126.dcm,0.000,8858,8858,8858,56.498,30.700
130,ani_div_R51126.dcm,0.000,8732,8732,8732,57.042,31.892
131,ani_div_R51126.dcm,0.000,8226,8226,8226,57.465,33.035
132,ani_div_R51126.dcm,0.000,9417,9417,9417,57.777,34.275
133,ani_div_R51126.dcm,0.000,8668,8668,8668,58.081,35.530
134,ani_div_R51126.dcm,0.000,7981,7981,7981,58.297,36.826
135,ani_div_R51126.dcm,0.000,7777,7777,7777,58.353,38.017
136,ani_div_R51126.dcm,0.000,7238,7238,7238,58.385,39.289
137,ani_div_R51126.dcm,0.000,7495,7495,7495,58.417,40.568
138,ani_div_R51126.dcm,0.000,7526,7526,7526,58.345,41.776
139,ani_div_R51126.dcm,0.000,7735,7735,7735,58.273,43.095
140,ani_div_R51126.dcm,0.000,7112,7112,7112,58.121,44.327
141,ani_div_R51126.dcm,0.000,7589,7589,7589,57.833,45.558
142,ani_div_R51126.dcm,0.000,7830,7830,7830,57.617,46.822
143,ani_div_R51126.dcm,0.000,8474,8474,8474,57.322,48.045
144,ani_div_R51126.dcm,0.000,7656,7656,7656,56.954,49.221
145,ani_div_R51126.dcm,0.000,6913,6913,6913,56.586,50.404
146,ani_div_R51126.dcm,0.000,6775,6775,6775,56.106,51.540
147,ani_div_R51126.dcm,0.000,7036,7036,7036,55.554,52.611
148,ani_div_R51126.dcm,0.000,8916,8916,8916,54.930,53.731
149,ani_div_R51126.dcm,0.000,8922,8922,8922,54.307,54.731
150,ani_div_R51126.dcm,0.000,7730,7730,7730,53.539,55.754
151,ani_div_R51126.dcm,0.000,7632,7632,7632,52.835,56.746
152,ani_div_R51126.dcm,0.000,7250,7250,7250,51.956,57.625
153,ani_div_R51126.dcm,0.000,7052,7052,7052,51.060,58.513
154,ani_div_R51126.dcm,0.000,7219,7219,7219,50.124,59.305
155,ani_div_R51126.dcm,0.000,8751,8751,8751,49.205,60.048
156,ani_div_R51126.dcm,0.000,8180,8180,8180,48.181,60.640
157,ani_div_R51126.dcm,0.000,7458,7458,7458,47.022,61.224
158,ani_div_R51126.dcm,0.000,7634,7634,7634,45.886,61.680
159,ani_div_R51126.dcm,0.000,7518,7518,7518,44.718,61.896
160,ani_div_R51126.dcm,0.000,6621,6621,6621,43.447,62.128
161,ani_div_R51126.dcm,0.000,6347,6347,6347,42.191,62.168
162,ani_div_R51126.dcm,0.000,6560,6560,6560,41.048,62.024
163,ani_div_R51126.dcm,0.000,6600,6600,6600,39.896,61.760
164,ani_div_R51126.dcm,0.000,6409,6409,6409,38.689,61.424
165,ani_div_R51126.dcm,0.000,6864,6864,6864,37.521,60.896
166,ani_div_R51126.dcm,0.000,6595,6595,6595,36.458,60.304
167,ani_div_R51126.dcm,0.000,6135,6135,6135,35.546,59.585
168,ani_div_R51126.dcm,0.000,7145,7145,7145,34.602,58.825
169,ani_div_R51126.dcm,0.000,6848,6848,6848,33.731,58.009
170,ani_div_R51126.dcm,0.000,7287,7287,7287,32.947,57.226
171,ani_div_R51126.dcm,0.000,8083,8083,8083,32.243,56.242
172,ani_div_R51126.dcm,0.000,7401,7401,7401,31.492,55.298
173,ani_div_R51126.dcm,0.000,7382,7382,7382,30.876,54.339
174,ani_div_R51126.dcm,0.000,6763,6763,6763,30.260,53.363
175,ani_div_R51126.dcm,0.000,6298,6298,6298,29.732,52.300
176,ani_div_R51126.dcm,0.000,7645,7645,7645,29.213,51.260
177,ani_div_R51126.dcm,0.000,7139,7139,7139,28.773,50.140
178,ani_div_R51126.dcm,0.000,7329,7329,7329,28.365,49.093
179,ani_div_R51126.dcm,0.000,8863,8863,8863,28.069,47.997
180,ani_div_R51126.dcm,0.000,8533,8533,8533,27.789,46.814
181,ani_div_R51126.dcm,0.000,8952,8952,8952,27.605,45.654
182,ani_div_R51126.dcm,0.000,8173,8173,8173,27.525,44.511
183,ani_div_R51126.dcm,0.000,8677,8677,8677,27.421,43.327
184,ani_div_R51126.dcm,0.000,9583,9583,9583,27.501,42.151
185,ani_div_R51126.dcm,0.000,9966,9966,9966,27.613,41.088
186,ani_div_R51126.dcm,0.000,9575,9575,9575,27.829,39.936
187,ani_div_R51126.dcm,0.000,9801,9801,9801,28.189,38.841
188,ani_div_R51126.dcm,0.000,9190,9190,9190,28.589,37.801
189,ani_div_R51126.dcm,0.000,8316,8316,8316,29.109,36.706
190,ani_div_R51126.dcm,0.000,7788,7788,7788,29.644,35.826
191,ani_div_R51126.dcm,0.000,8014,8014,8014,30.292,34.914
192,ani_div_R51126.dcm,0.000,8104,8104,8104,30.972,34.051
193,ani_div_R51126.dcm,0.000,8450,8450,8450,31.732,33.243
194,ani_div_R51126.dcm,0.000,7765,7765,7765,32.483,32.499
195,ani_div_R51126.dcm,0.000,7517,7517,7517,33.243,31.828
196,ani_div_R51126.dcm,0.000,8475,8475,8475,34.091,31.300
197,ani_div_R51126.dcm,0.000,8941,8941,8941,34.978,30.732
198,ani_div_R51126.dcm,0.000,8375,8375,8375,35.866,30.292
199,ani_div_R51126.dcm,0.000,7109,7109,7109,36.794,29.836
200,ani_div_R51126.dcm,0.000,8252,8252,8252,37.585,29.444
201,ani_div_R51126.dcm,0.000,6092,6092,6092,38.257,29.213
202,ani_div_R51126.dcm,0.000,6304,6304,6304,38.761,29.021
203,ani_div_R51126.dcm,0.000,7640,7640,7640,39.281,28.773
204,ani_div_R51126.dcm,0.000,8340,8340,8340,39.976,28.477
205,ani_div_R51126.dcm,0.000,8216,8216,8216,40.784,28.221
206,ani_div_R51126.dcm,0.000,8624,8624,8624,41.408,28.037
207,ani_div_R51126.dcm,0.000,7621,7621,7621,42.111,27.821
208,ani_div_R51126.dcm,0.000,6564,6564,6564,42.839,27.653
209,ani_div_R51126.dcm,0.000,6341,6341,6341,43.407,27.525
210,ani_div_R51126.dcm,0.000,7814,7814,7814,43.847,27.501
211,ani_div_R51126.dcm,0.000,7869,7869,7869,44.303,27.485
212,ani_div_R51126.dcm,0.000,7755,7755,7755,44.830,27.397
213,ani_div_R51126.dcm,0.000,8043,8043,8043,45.302,27.301
214,ani_div_R51126.dcm,0.000,7899,7899,7899,45.782,27.325
215,ani_div_R51126.dcm,0.000,8859,8859,8859,46.230,27.349
216,ani_div_R51126.dcm,0.000,8180,8180,8180,46.726,27.397
217,ani_div_R51126.dcm,0.000,8685,8685,8685,47.174,27.509
218,ani_div_R51126.dcm,0.000,9965,9965,9965,47.557,27.669
